lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_approved_indicators_present,has_at_least_one_approved_indicator_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,all_applicable_indicators_insufficient_information,interpretation,likely_neon_site_code,areasymbol,mukey,musym,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,match_evidence,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,ssurgo_hydric_rating,high_confidence_ssurgo_match,ssurgo_hydric_yes,ssurgo_hydric_no,field_indicator_present,has_explicit_negative_morphology_evidence,complete_priority_indicator_evaluation,evidence_class,core_reference_cohort,conflict_flag
34348,S2015WI069001,K,94D,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,WI069,431633.0,3298B,"Moodig sandy loam, 0 to 4 percent slopes",Pesabic,"Coarse-loamy, mixed, superactive, frigid Alfic Epiaquods",MEDIUM,No name match; unique candidate supported by at least three taxonomic ranks.,27558099.0,Moodig,90.0,Yes,Somewhat poorly drained,No,,no,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34379,S2015AK240001,X1,229,,0,False,0,0,0,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,AK657,2410043.0,29GE02,Gerstle-Tanana complex,SND,"Coarse-loamy, mixed, superactive Typic Haplocryepts",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
34489,S2015KS045100,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,UKFS,KS045,2420283.0,7461,"Oska silty clay loam, 3 to 8 percent slopes, eroded",Oska,"Fine, smectitic, mesic Vertic Argiudolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26317442.0,Oska,85.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34490,S2015KS045101,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,UKFS,KS045,2421220.0,7550,"Rosendale-Bendena silty clay loams, 3 to 40 percent slopes",Rosendale,"Loamy-skeletal, mixed, mesic Typic Hapludolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26317595.0,Rosendale,55.0,Yes,Moderately well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34491,S2015KS045102,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,UKFS,KS045,2421220.0,7550,"Rosendale-Bendena silty clay loams, 3 to 40 percent slopes",Bendena,"Loamy, mixed, superactive, mesic Lithic Hapludolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26317598.0,Bendena,27.0,Yes,Somewhat excessively drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34492,S2015KS045103,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,UKFS,KS045,2421220.0,7550,"Rosendale-Bendena silty clay loams, 3 to 40 percent slopes",Wamego,"Fine, mixed, superactive, mesic Typic Argiudolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34493,S2015KS045104,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,UKFS,KS045,2421224.0,7305,"Martin silty clay loam, 7 to 12 percent slopes, eroded",Martin,"Fine, smectitic, mesic Aquertic Argiudolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26317462.0,Martin,85.0,Yes,Moderately well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34494,S2015KS045105,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,UKFS,KS045,2421224.0,7305,"Martin silty clay loam, 7 to 12 percent slopes, eroded",Martin,"Fine, smectitic, mesic Aquertic Argiudolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26317462.0,Martin,85.0,Yes,Moderately well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34495,S2015KS045106,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,UKFS,KS045,2421224.0,7305,"Martin silty clay loam, 7 to 12 percent slopes, eroded",Martin,"Fine, smectitic, mesic Aquertic Argiudolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26317462.0,Martin,85.0,Yes,Moderately well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34496,S2015KS045107,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,UKFS,KS045,2420283.0,7461,"Oska silty clay loam, 3 to 8 percent slopes, eroded",Oska,"Fine, smectitic, mesic Vertic Argiudolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26317442.0,Oska,85.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
