lims_pedon_id,user_pedon_id,latitude,longitude,areasymbol,mukey,musym,muname,likely_neon_site_code,lab_proj_name,submit_proj_name,nasis_taxon_name,nasis_taxonomy,candidate_component_count,candidate_components,match_confidence,match_evidence,alternatives_rejected,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_taxorder,selected_taxsuborder,selected_taxgrtgroup,selected_taxsubgrp,selected_taxpartsize,selected_localphase,selected_otherph,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,selected_hydric_criteria_keys
30433,S2013VA187001,38.89209,-78.13764,VA187,518823,22E,"Lew loam, 25 to 65 percent slopes, very stony",,I2013USVA087,NEON VA Warren Co. ,Lew,"Loamy-skeletal, mixed, active, mesic Ultic Hapludalfs",1.0,Lew [27340363; 90%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,,27340363,Lew,90,Yes,Alfisols,Udalfs,Hapludalfs,Ultic Hapludalfs,loamy-skeletal,,NORTH,Well drained,No,,
30664,S2013CO069001,40.2770556,-105.54525,CO642,2420087,7702B,"Frisco-Catamount, moist families complex, 5 to 40 percent slopes",,I2013USCO091,NEON CO Larimer,Ustic Haplocryolls,"Loamy-skeletal, mixed, superactive Ustic Haplocryolls",5.0,Frisco family [26668400; 45%; No] | Catamount family [26668401; 40%; No] | Bullwark family [26668398; 5%; No] | Leighcan family [26668399; 5%; No] | Rock outcrop [26668402; 5%; No],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
32381,S2013MI053001,46.2362222,-89.5391389,MI053,1455968,5172C,"Gogebic, sandy substratum-Pence-Cathro complex, 0 to 18 percent slopes",,I2013USMI131,NEON MI Gogebic,Tula,"Coarse-loamy, mixed, superactive, frigid Argic Fragiaquods",5.0,Gogebic [27105215; 60%; No] | Cathro [27105216; 15%; Yes] | Pence [27105217; 15%; No] | Tula [27105213; 5%; No] | Annalake [27105214; 5%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Annalake (27105214): weaker name/taxonomy score 11.7; Gogebic (27105215): weaker name/taxonomy score 0.0; Cathro (27105216): weaker name/taxonomy score -13.0; Pence (27105217): weaker name/taxonomy score -20.0,27105213,Tula,5,No ,Spodosols,Aquods,Fragiaquods,Argic Fragiaquods,coarse-loamy,,,Somewhat poorly drained,No,,
32609,S2013TN001001,35.964583,-84.282806,TN001,1887391,FoC,"Fullerton-Pailo complex, 5 to 12 percent slopes",,I2014USTN005,NEON TN Anderson Co.,Fullerton,"Fine, kaolinitic, thermic Typic Paleudults",3.0,Fullerton [26465199; 65%; No] | Pailo [26465197; 26%; No] | Minvale [26465198; 9%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Minvale (26465198): weaker name/taxonomy score 68.8; Pailo (26465197): weaker name/taxonomy score 50.0,26465199,Fullerton,65,Yes,Ultisols,Udults,Paleudults,Typic Paleudults,fine,,,Well drained,No,,
32683,S2014AZ019001,31.9086667,-110.8377778,AZ667,1416069,Ao,"Anthony soils, very gravelly variants",,C2014USAZ013,NEON AZ Santa Rita,Rillino,,2.0,Anthony [26421195; 51%; No] | Anthony [26421196; 49%; No],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
32878,S2014AL007001,32.9510611,-87.3941,AL007,2232549,MsF,"Maubila-Smithdale complex, 15 to 35 percent slopes",,I2014USAL029,NEON AL Bibb (Talladaga NF),Smithdale,"Fine-loamy, siliceous, subactive, thermic Typic Hapludults",3.0,Maubila [26916502; 50%; No] | Smithdale [26916503; 35%; No] | Bibb [26916501; 5%; Yes],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Maubila (26916502): weaker name/taxonomy score 53.1; Bibb (26916501): weaker name/taxonomy score -34.6,26916503,Smithdale,35,Yes,Ultisols,Udults,Hapludults,Typic Hapludults,fine-loamy,,,Well drained,No,,
33023,S2014PR079001,18.0218444,-67.0760833,PR787,1379800,CeA,"Cartagena clay, 0 to 2 percent slopes",,I2014USPR044,NEON PR  Palmarejo,Cartagena,"Fine, mixed, superactive, isohyperthermic Sodic Haplusterts",8.0,Cartagena [27627145; 80%; No] | Fe [27627142; 5%; No] | Aguirre [27627143; 5%; Yes] | Guanica [27627144; 5%; Yes] | Fraternidad [27627141; 2%; No] | Urban land [27627138; 1%; No] | Vayas [27627139; 1%; Yes] | Poncena [27627140; 1%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Fe (27627142): weaker name/taxonomy score 66.4; Fraternidad (27627141): weaker name/taxonomy score 57.5; Poncena (27627140): weaker name/taxonomy score 37.5; Urban land (27627138): weaker name/taxonomy score 14.7; Aguirre (27627143): weaker name/taxonomy score 13.1; Guanica (27627144): weaker name/taxonomy score 8.8; Vayas (27627139): weaker name/taxonomy score -10.0,27627145,Cartagena,80,Yes,Vertisols,Usterts,Haplusterts,Sodic Haplusterts,fine,,,Somewhat poorly drained,No,,
33127,S2014MD003001,38.8983028,-76.5588333,MD003,137789,MaC,"Marr-Dodon complex, 5 to 10 percent slopes",,I2014USMD052,NEON MD Anne Arundel (SERC),Adelphia,"Fine-loamy, mixed, active, mesic Aquic Hapludults",4.0,Marr [27484446; 50%; No] | Dodon [27484447; 35%; No] | Piccowaxen [27484445; 10%; No] | Howell [27484444; 5%; No],MEDIUM,No name match; unique candidate supported by at least three taxonomic ranks.,Marr (27484446): weaker name/taxonomy score 45.8; Howell (27484444): weaker name/taxonomy score 30.0; Piccowaxen (27484445): weaker name/taxonomy score -28.3,27484447,Dodon,35,Yes,Ultisols,Udults,Hapludults,Aquic Hapludults,fine-loamy,,,Moderately well drained,No,,
33204,S2014UT045001,40.1783389,-112.4538139,UT611,482173,64,"Taylorsflat loam, 1 to 5 percent slopes",,I2014USUT057,NEON UT Tooele Co Onaqui-Ault,Taylorsflat,"Fine-loamy, mixed, superactive, mesic Xeric Haplocalcids",4.0,Taylorsflat [26351902; 90%; No] | Hiko Peak [26351904; 4%; nan] | Spager [26351903; 3%; nan] | Birdow [26351905; 3%; nan],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Hiko Peak (26351904): weaker name/taxonomy score 47.0; Spager (26351903): weaker name/taxonomy score 8.2; Birdow (26351905): weaker name/taxonomy score -15.9,26351902,Taylorsflat,90,Yes,Aridisols,Calcids,Haplocalcids,Xeric Haplocalcids,fine-loamy,,"MED PPT,NIRR",Well drained,No,,
33539,S2014KS161502,39.10071,-96.56225,KS161,1472309,4625,"Dwight-Irwin complex, 1 to 3 percent slopes",,I2014USKS066,NEON KS Konza Core,Konza,"Fine, smectitic, mesic Pachic Udertic Argiustolls",5.0,Dwight [26334767; 45%; No] | Irwin [26334770; 40%; No] | Clime [26334768; 6%; No] | Wymore [26334769; 6%; No] | Rock outcrop [26334766; 3%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
