lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_approved_indicators_present,has_at_least_one_approved_indicator_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,all_applicable_indicators_insufficient_information,interpretation,likely_neon_site_code,areasymbol,mukey,musym,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,match_evidence,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,ssurgo_hydric_rating,high_confidence_ssurgo_match,ssurgo_hydric_yes,ssurgo_hydric_no,field_indicator_present,has_explicit_negative_morphology_evidence,complete_priority_indicator_evaluation,evidence_class,core_reference_cohort,conflict_flag
35460,S2016ND059030,F,54,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,1718353.0,E2601D,"Amor-Cabba loams, 9 to 15 percent slopes",Bryant,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
35461,S2016ND059029,F,54,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2699155.0,E2617F,"Cabba-Chama-Shambo loams, 9 to 50 percent slopes",Amor,"Fine-loamy, mixed, superactive, frigid Typic Haplustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27699646.0,Amor,10.0,No ,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
37473,S2017ND093001,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2566846.0,C156F,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Zahl,"Fine-loamy, mixed, superactive, frigid Typic Calciustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27719277.0,Zahl,54.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
37474,S2017ND093004,F,55B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2581364.0,G273B,"Sioux-Arvilla complex, 2 to 6 percent slopes",Sioux,"Sandy or sandy-skeletal, mixed, superactive, frigid Entic Hapludolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27720215.0,Sioux,55.0,Yes,Excessively drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
37475,S2017ND093007,F,53B,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2566846.0,C156F,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Williams,"Fine-loamy, mixed, superactive, frigid Typic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
37476,S2017ND093010,F,53B,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2566844.0,C165F,"Zahl-Max-Parnell complex, 0 to 35 percent slopes",Grail,"Fine, smectitic, frigid Vertic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
37477,S2017ND093011,F,53B,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2566829.0,C132C,"Williams-Zahl-Zahill complex, 6 to 9 percent slopes",Bowbells,"Fine-loamy, mixed, superactive, frigid Pachic Argiustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27720412.0,Bowbells,9.0,No ,Moderately well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
37478,S2017ND093014,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2566846.0,C156F,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Arnegard,"Fine-loamy, mixed, superactive, frigid Pachic Haplustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
37479,S2017ND093016,F,53B,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2566846.0,C156F,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Bowbells,"Fine-loamy, mixed, superactive, frigid Pachic Argiustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27719280.0,Bowbells,18.0,Yes,Moderately well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
37480,S2017ND093020,F,55B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2581321.0,G143C,"Barnes-Buse-Langhei loams, 6 to 9 percent slopes",Aastad,"Fine-loamy, mixed, superactive, frigid Pachic Argiudolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
37481,S2017ND093022,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,3312341.0,C24A,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",Badger,"Fine, smectitic, frigid Vertic Argiaquolls",MEDIUM,No name match; unique candidate supported by at least three taxonomic ranks.,27720308.0,Parnell,64.0,Yes,Very poorly drained,Yes,2; 3,yes,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
37482,S2017ND093023,F,53B,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2566846.0,C156F,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Williams,"Fine-loamy, mixed, superactive, frigid Typic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
37483,S2017ND093027,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2566846.0,C156F,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Bowbells,"Fine-loamy, superactive, frigid Pachic Argiustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27719280.0,Bowbells,18.0,Yes,Moderately well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
37484,S2017ND093029,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2566846.0,C156F,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Grail,"Fine, smectitic, nonacid, frigid Pachic Vertic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
37485,S2017ND093030,F,55B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,2581363.0,G273A,"Sioux-Arvilla complex, 0 to 2 percent slopes",Renshaw,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Calcic Hapludolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
37486,S2017ND093063,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,DCFS,ND093,3312341.0,C24A,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27720308.0,Parnell,64.0,Yes,Very poorly drained,Yes,2; 3,yes,True,True,False,False,True,False,SSURGO_POSITIVE_MORPH_NOT_DEMONSTRATED,False,False
