wavenumber_cm1,mean_delta,median_delta,hydric_lower_count,hydric_higher_count,269180_minus_269142,242130_minus_247323,242114_minus_269150,242107_minus_247270,242125_minus_247310
3882.0,-0.048651045284701544,-0.056897239563248325,5,0,-0.08496596294507075,-0.056897239563248325,-0.06656861644392786,-0.006410796061376622,-0.02841261140988416
3880.0,-0.04819433582210997,-0.05701195398380743,5,0,-0.0845937319003629,-0.05701195398380743,-0.06549356370566706,-0.004511126128922571,-0.029361303391789884
3878.0,-0.04718756234865049,-0.0571521220709863,4,1,-0.083448126601678,-0.0571521220709863,-0.06381888228178667,0.0004086004576695501,-0.03192728124647104
3876.0,-0.047129758455523606,-0.05739623140208239,4,1,-0.08285532245656757,-0.05739623140208239,-0.06346105091342569,0.0006875837087647607,-0.03262377121430715
3874.0,-0.04818560207159499,-0.057381221598426846,5,0,-0.08391006468742646,-0.057381221598426846,-0.06474382843100268,-0.0050395824409767975,-0.029853313200142173
3872.0,-0.04950458924532599,-0.0571909954574239,5,0,-0.08572928989643036,-0.0571909954574239,-0.0665052744810477,-0.012172950646712755,-0.02592443574501524
3870.0,-0.050272129989802974,-0.057054603061365006,5,0,-0.0871432964820742,-0.057054603061365006,-0.06737330634789784,-0.016217018818434514,-0.0235724252392433
3868.0,-0.04972492671010378,-0.05695034838661517,5,0,-0.08689128435701732,-0.05695034838661517,-0.0664436592521167,-0.013729799451044133,-0.024609542103725568
3866.0,-0.0491202664079355,-0.056978344070673925,5,0,-0.0860435752090174,-0.056978344070673925,-0.06545777939509323,-0.011058875082504693,-0.026062758282388243
3864.0,-0.04881555107287503,-0.05679665291878444,5,0,-0.0857584317460911,-0.05679665291878444,-0.06495591847474103,-0.010325985599618503,-0.026240766625140077
3862.0,-0.047831851768441555,-0.0566224833390534,5,0,-0.08484935964341855,-0.0566224833390534,-0.06360794991353136,-0.006104389235273899,-0.02797507671093058
3860.0,-0.046926565681307555,-0.05684405195335818,5,0,-0.08349505285375525,-0.05684405195335818,-0.06228408465211177,-0.0015317517830679694,-0.0304778871642446
3858.0,-0.04800017053454755,-0.05758655565130155,5,0,-0.08395324735795895,-0.05758655565130155,-0.06332512913770771,-0.005696871476532639,-0.029439049049236887
3856.0,-0.05230074143473033,-0.05872259191095219,5,0,-0.08844597290388934,-0.05872259191095219,-0.06822671501511857,-0.02495513349981393,-0.021153293843877652
3854.0,-0.0564779995765448,-0.058382457172592606,5,0,-0.0945649104786963,-0.058382457172592606,-0.07339626572116376,-0.04679344200612556,-0.009252922504145777
3852.0,-0.05443936024022929,-0.05706107304076924,5,0,-0.09406545528712296,-0.05706107304076924,-0.07092464839131507,-0.039399802615304846,-0.010745821866634309
3850.0,-0.04907453947219933,-0.05639477994740805,5,0,-0.08784481075538797,-0.05639477994740805,-0.06433945929043272,-0.014093357118679428,-0.022700290249088484
3848.0,-0.04616171065570836,-0.05635456463730559,4,1,-0.0833614966363827,-0.05635456463730559,-0.061036537187187934,0.00010142321810335808,-0.0301573780357689
3846.0,-0.04612325326564073,-0.05666989358894603,4,1,-0.08247505283203505,-0.05666989358894603,-0.06110433287553896,0.0007636825483889886,-0.0311306695800726
3844.0,-0.047296702489160666,-0.056809891713367255,5,0,-0.08362525520533803,-0.056809891713367255,-0.062350271538702984,-0.0052858911989293045,-0.028412202789465768
3842.0,-0.048729688466465505,-0.05651646290249279,5,0,-0.08551413353618331,-0.05651646290249279,-0.06388491143061259,-0.013685764929494137,-0.024047169533544688
